"NOME_CATMETROPOL";"tipo";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Região Metropolitana do Agreste";"Total";62;46;58;68;98;111;120;151;140;200;238;215;249;228;228;212;226;180;184;195;216;218;NA
"Região Metropolitana de Umuarama";"Total";11;17;11;14;21;9;19;16;9;8;23;16;19;26;37;49;33;34;22;34;30;43;NA
"Região Metropolitana de Tubarão";"Total";4;6;5;8;13;16;8;4;6;7;10;7;9;8;7;8;4;12;6;5;8;12;NA
"Região Metropolitana de Toledo";"Total";12;11;19;19;11;13;23;31;20;10;24;24;32;28;41;35;36;36;16;19;32;52;NA
"Região Metropolitana de São Paulo";"Total";481;780;561;743;690;808;845;910;876;816;916;940;918;820;986;788;737;638;511;681;758;730;NA
"Região Metropolitana de São José do Rio Preto";"Total";20;30;26;23;26;29;20;28;32;40;26;30;38;36;41;29;28;35;31;47;37;31;NA
"Região Metropolitana de Sousa";"Total";2;NA;2;8;5;3;14;11;15;14;18;16;24;22;23;33;26;14;25;25;22;15;NA
"Região Metropolitana de Sorocaba";"Total";36;45;70;57;57;46;70;76;65;51;84;107;82;81;76;65;62;77;79;72;79;98;NA
"Região Metropolitana de Sobral";"Total";14;12;35;47;51;64;85;94;91;92;133;150;163;182;266;261;259;222;236;201;250;223;NA
"Região Metropolitana de Santarém";"Total";7;7;14;34;38;31;24;31;50;17;22;33;3;2;7;1;23;62;34;85;90;35;NA
"Região Metropolitana de Salvador";"Total";120;150;165;161;149;468;486;394;195;183;519;459;530;447;460;351;307;294;199;237;232;197;NA
"Região Metropolitana de Ribeirão Preto";"Total";45;52;53;40;50;50;60;37;38;55;65;61;55;74;60;69;61;67;67;63;82;84;NA
"Região Metropolitana de Recife";"Total";538;533;577;533;596;570;587;592;567;617;709;652;621;512;581;571;560;528;453;420;406;347;NA
"Região Metropolitana de Porto Velho";"Total";69;51;73;87;87;66;133;109;122;137;181;152;188;148;134;136;98;79;75;65;78;70;NA
"Região Metropolitana de Porto Alegre";"Total";65;63;72;82;75;80;68;56;68;72;69;58;54;65;67;67;46;40;49;67;41;52;NA
"Região Metropolitana de Piracicaba";"Total";28;27;40;42;38;55;45;42;42;45;45;49;60;37;55;71;51;65;55;62;75;79;NA
"Região Metropolitana de Patos";"Total";3;2;7;6;21;13;22;17;22;52;53;42;38;39;51;40;50;43;51;35;40;36;NA
"Região Metropolitana de Palmeira dos Índios";"Total";5;2;3;3;3;2;1;4;2;3;5;7;9;7;10;12;12;6;6;3;5;7;NA
"Região Metropolitana de Palmas";"Total";47;52;70;64;61;75;61;105;77;115;109;134;110;102;100;125;112;121;103;118;123;131;NA
"Região Metropolitana de Natal";"Total";133;130;113;107;103;102;95;101;117;131;156;149;142;163;173;160;153;189;204;162;143;139;NA
"Região Metropolitana de Maringá";"Total";23;16;31;30;43;28;30;37;36;28;36;28;57;48;48;59;35;36;34;37;43;54;NA
"Região Metropolitana de Manaus";"Total";267;198;215;225;244;275;330;267;285;284;379;385;329;320;331;346;330;304;320;294;291;287;NA
"Região Metropolitana de Maceió";"Total";177;211;182;140;162;165;177;143;209;195;221;289;270;227;283;236;228;194;146;195;232;184;NA
"Região Metropolitana de Macapá";"Total";72;93;88;97;85;91;91;68;75;85;85;91;90;70;87;72;65;69;49;67;56;76;NA
"Região Metropolitana de Londrina";"Total";43;26;36;40;42;44;49;43;40;34;43;65;57;33;59;44;44;50;41;70;63;72;NA
"Região Metropolitana de Lages";"Total";4;4;2;8;7;7;8;4;9;7;11;18;12;14;17;21;14;12;18;17;22;17;NA
"Região Metropolitana de Jundiaí";"Total";6;13;23;28;35;25;24;34;35;17;25;30;23;19;33;29;25;40;28;41;32;58;NA
"Região Metropolitana de João Pessoa";"Total";147;169;184;173;156;196;180;191;236;244;264;206;239;230;201;234;247;237;204;214;196;198;NA
"Região Metropolitana de Joinville";"Total";7;3;10;5;7;11;16;7;9;23;25;23;24;10;34;39;24;22;23;28;18;39;NA
"Região Metropolitana de Jaraguá do Sul";"Total";3;2;2;2;10;4;6;4;3;8;6;7;7;7;7;7;8;10;7;10;7;3;NA
"Região Metropolitana de Itabaiana";"Total";1;2;9;4;19;25;10;17;16;17;13;15;14;23;17;17;15;23;12;14;17;21;NA
"Região Metropolitana de Gurupi";"Total";29;22;35;35;38;36;43;52;59;54;62;70;96;65;66;73;65;70;53;47;43;73;NA
"Região Metropolitana de Guarabira";"Total";4;11;3;4;15;16;16;22;18;15;11;22;21;33;27;19;36;35;39;36;34;31;NA
"Região Metropolitana de Goiânia";"Total";198;221;266;242;320;374;346;391;431;422;493;474;501;420;467;388;425;397;371;366;374;448;NA
"Região Metropolitana de Fortaleza";"Total";328;333;292;274;260;260;361;499;395;258;444;364;309;332;394;330;374;449;377;275;216;194;NA
"Região Metropolitana de Florianópolis";"Total";23;26;17;20;15;18;26;26;20;25;21;25;22;24;27;32;27;20;18;26;23;18;NA
"Região Metropolitana de Feira de Santana";"Total";49;24;23;13;18;35;62;97;86;92;127;113;117;117;103;44;43;59;49;41;105;144;NA
"Região Metropolitana de Esperança";"Total";3;NA;7;5;17;8;16;14;16;18;23;26;20;14;20;23;17;30;12;16;19;18;NA
"Região Metropolitana de Curitiba";"Total";67;56;45;50;42;76;42;54;56;41;37;46;53;34;40;39;41;59;46;54;75;147;NA
"Região Metropolitana de Chapecó";"Total";4;14;7;3;4;8;4;8;13;4;3;13;8;5;12;11;16;13;16;22;10;13;NA
"Região Metropolitana de Central";"Total";8;5;9;9;4;4;1;7;3;5;12;8;7;6;9;2;3;3;3;2;10;7;NA
"Região Metropolitana de Cascavel";"Total";12;12;10;8;15;7;9;15;14;9;6;10;24;28;23;19;9;22;17;15;30;41;NA
"Região Metropolitana de Campo Mourão";"Total";17;6;10;12;16;11;7;19;11;32;41;44;63;50;52;50;54;62;38;38;42;40;NA
"Região Metropolitana de Campinas";"Total";73;73;98;86;122;111;112;121;118;97;130;142;120;111;119;113;117;130;116;121;119;170;NA
"Região Metropolitana de Campina Grande";"Total";81;88;175;165;187;186;224;252;252;190;206;193;263;290;276;263;244;198;223;184;203;190;NA
"Região Metropolitana de Cajazeiras";"Total";1;5;7;5;6;7;9;6;6;21;14;22;28;19;37;35;32;27;29;24;28;37;NA
"Região Metropolitana de Caetés";"Total";12;11;14;6;7;13;10;18;22;10;22;21;20;30;25;23;29;17;18;17;24;18;NA
"Região Metropolitana de Belém";"Total";247;264;317;335;289;363;329;265;305;271;421;448;475;362;417;403;389;334;314;343;326;322;NA
"Região Metropolitana de Belo Horizonte";"Total";433;504;502;525;564;576;688;673;623;593;597;625;562;512;536;465;418;402;351;291;304;317;NA
"Região Metropolitana de Barra de Santa Rosa";"Total";2;NA;4;2;10;1;11;9;11;5;13;12;18;20;7;15;18;11;14;18;12;12;NA
"Região Metropolitana de Araruna";"Total";2;NA;NA;1;3;7;4;4;6;2;3;9;14;9;10;7;11;6;5;7;11;8;NA
"Região Metropolitana de Aracaju";"Total";67;100;130;99;113;132;117;147;156;204;243;237;244;251;214;230;183;175;142;174;146;167;NA
"Região Metropolitana de Apucarana";"Total";16;13;11;17;22;9;18;13;15;17;16;20;35;34;24;31;20;22;11;30;32;32;NA
"Região Metropolitana da Zona da Mata";"Total";28;20;32;18;18;20;16;34;26;34;42;57;43;43;34;62;50;46;31;28;37;47;NA
"Região Metropolitana da Zona Leste do Estado do Maranhão";"Total";18;8;23;21;27;29;32;39;50;45;56;68;71;69;103;59;106;55;68;56;87;72;NA
"Região Metropolitana da Serra Gaúcha";"Total";3;8;8;7;9;10;9;5;9;15;12;7;12;11;9;5;12;8;10;8;9;3;NA
"Região Metropolitana da Grande Vitória";"Total";160;156;187;177;184;200;181;237;233;233;255;254;287;272;246;200;186;210;200;191;181;194;NA
"Região Metropolitana da Grande São Luís";"Total";104;155;178;175;186;207;195;236;295;238;276;283;343;287;284;265;251;204;208;200;225;227;NA
"Região Metropolitana da Foz do Rio Itajaí";"Total";7;9;9;9;13;9;12;11;16;10;16;15;19;9;11;11;9;12;16;20;20;15;NA
"Região Metropolitana da Capital";"Total";62;68;88;46;40;61;62;88;71;77;91;91;81;108;81;121;76;93;56;74;82;80;NA
"Região Metropolitana da Baixada Santista";"Total";79;88;107;108;128;142;153;157;172;139;125;145;171;126;114;122;123;94;111;120;138;141;NA
"Região Metropolitana Carbonífera";"Total";3;8;7;6;11;4;3;11;7;14;6;12;5;4;7;5;7;9;7;4;10;6;NA
"Região Integrada de Desenvolvimento do Distrito Federal e Entorno";"Total";536;584;631;671;576;625;556;608;654;651;718;730;720;708;712;600;562;443;445;447;401;428;NA
"Região Integrada de Desenvolvimento da Grande Teresina";"Total";158;179;215;240;239;224;325;345;318;339;395;386;431;422;465;445;420;343;323;307;312;299;NA
"Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA";"Total";63;56;99;89;45;94;79;46;92;139;147;224;230;217;217;214;280;205;205;239;209;202;NA
"Entorno Metropolitano da RM Vale do Rio Cuiabá";"Total";15;16;12;11;14;15;13;12;18;26;22;24;20;27;41;33;19;21;17;10;20;24;NA
"Colar Metropolitano de Belo Horizonte";"Total";24;22;24;21;44;45;30;52;50;49;69;52;91;80;86;60;67;57;67;68;68;80;NA
"Colar Metropolitano";"Total";6;4;9;2;3;9;5;8;11;25;29;24;24;27;51;43;13;36;29;24;31;41;NA
"-";"Total";3823;3917;4822;5006;5683;5968;6144;6901;7683;8033;9663;9796;11082;10747;11431;10592;10497;10279;9473;9592;10058;10485;NA
"Área de Expansão Metropolitana";"Ocupantes de automóvel";3;1;1;1;1;1;NA;10;10;13;11;16;8;11;4;3;3;4;5;2;4;2;NA
"Região Metropolitana do Vale do Rio Cuiabá";"Ocupantes de automóvel";28;47;61;33;33;31;39;39;35;54;53;41;42;47;70;43;39;36;42;30;42;35;NA
"Região Metropolitana do Vale do Piancó";"Ocupantes de automóvel";NA;NA;1;NA;1;1;2;1;2;2;3;2;8;11;8;19;14;9;13;9;17;17;NA
"Região Metropolitana do Vale do Paraíba e Litoral Norte";"Ocupantes de automóvel";8;3;5;2;7;5;5;14;7;22;10;10;7;13;11;6;9;9;6;15;13;10;NA
"Região Metropolitana do Vale do Paraíba";"Ocupantes de automóvel";3;3;2;NA;1;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;5;11;2;9;2;NA
"Região Metropolitana do Vale do Mamanguape";"Ocupantes de automóvel";NA;NA;NA;3;1;2;11;10;5;7;2;1;4;1;4;NA;4;4;4;NA;NA;2;NA
"Região Metropolitana do Vale do Itajaí";"Ocupantes de automóvel";NA;NA;NA;NA;1;NA;NA;2;NA;1;4;4;2;4;4;5;1;3;3;3;3;10;NA
"Região Metropolitana do Vale do Aço";"Ocupantes de automóvel";4;4;1;1;NA;4;4;1;5;2;5;5;2;3;NA;2;1;11;2;3;2;7;NA
"Região Metropolitana do São Francisco";"Ocupantes de automóvel";NA;1;4;1;3;1;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;4;3;6;4;2;NA
"Região Metropolitana do Sul do Estado";"Ocupantes de automóvel";NA;1;NA;NA;2;2;NA;NA;NA;1;1;NA;3;1;2;9;1;5;5;1;2;NA;NA
"Região Metropolitana do Sudoeste Maranhense";"Ocupantes de automóvel";1;7;19;32;24;23;38;24;18;25;35;32;33;20;41;26;32;25;26;15;19;14;NA
"Região Metropolitana do Sertão";"Ocupantes de automóvel";2;9;NA;2;2;NA;1;NA;NA;8;1;NA;NA;NA;1;NA;NA;4;7;4;10;7;NA
"Região Metropolitana do Rio de Janeiro";"Ocupantes de automóvel";24;35;69;75;72;97;98;88;92;65;58;76;71;77;58;66;48;56;53;23;41;36;NA
"Região Metropolitana do Planalto Norte";"Ocupantes de automóvel";3;2;NA;NA;2;3;NA;2;NA;1;1;1;3;NA;1;NA;1;NA;NA;1;3;NA;NA
"Região Metropolitana do Médio Sertão";"Ocupantes de automóvel";2;3;1;2;NA;2;NA;NA;NA;NA;NA;1;3;NA;1;NA;NA;6;1;2;1;6;NA
"Região Metropolitana do Extremo Oeste";"Ocupantes de automóvel";3;NA;1;1;NA;NA;NA;3;4;NA;NA;2;9;5;2;4;3;3;1;2;4;5;NA
"Região Metropolitana do Contestado";"Ocupantes de automóvel";2;2;NA;2;NA;4;2;2;2;4;6;4;6;14;7;4;4;14;2;14;13;8;NA
"Região Metropolitana do Cariri";"Ocupantes de automóvel";15;7;8;2;9;5;10;10;17;4;2;NA;NA;NA;NA;NA;3;3;4;NA;NA;1;NA
"Região Metropolitana do Alto Vale do Itajaí";"Ocupantes de automóvel";1;NA;NA;NA;2;NA;NA;NA;1;4;2;1;NA;3;5;2;1;3;1;1;2;6;NA
"Região Metropolitana do Agreste";"Ocupantes de automóvel";6;6;10;13;3;5;12;17;3;9;7;9;3;2;1;6;5;35;11;18;29;20;NA
"Região Metropolitana de Umuarama";"Ocupantes de automóvel";3;5;1;4;7;2;2;4;2;NA;7;3;6;5;13;11;11;15;9;13;13;8;NA
"Região Metropolitana de Tubarão";"Ocupantes de automóvel";NA;2;3;3;5;8;4;1;2;3;1;2;1;3;1;4;NA;5;1;NA;2;2;NA
"Região Metropolitana de Toledo";"Ocupantes de automóvel";1;NA;1;NA;2;2;1;1;4;NA;2;1;8;8;10;10;7;14;7;6;10;15;NA
"Região Metropolitana de São Paulo";"Ocupantes de automóvel";15;24;15;26;32;40;96;66;80;70;82;82;108;105;109;85;88;47;32;70;93;68;NA
"Região Metropolitana de São José do Rio Preto";"Ocupantes de automóvel";1;4;2;2;4;NA;4;9;8;7;6;5;8;11;12;6;NA;12;5;4;11;7;NA
"Região Metropolitana de Sousa";"Ocupantes de automóvel";NA;NA;1;6;NA;NA;2;1;2;NA;3;4;7;13;13;26;19;9;20;12;12;4;NA
"Região Metropolitana de Sorocaba";"Ocupantes de automóvel";NA;2;1;5;2;3;12;17;13;10;30;23;15;13;17;6;2;12;14;15;20;19;NA
"Região Metropolitana de Sobral";"Ocupantes de automóvel";5;2;8;5;15;20;5;8;11;14;18;21;8;11;9;14;17;17;21;5;4;23;NA
"Região Metropolitana de Santarém";"Ocupantes de automóvel";NA;NA;NA;2;1;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;4;15;1;3;NA;11;NA
"Região Metropolitana de Salvador";"Ocupantes de automóvel";32;54;43;39;55;59;57;36;39;38;69;98;137;108;92;71;56;62;32;40;48;38;NA
"Região Metropolitana de Ribeirão Preto";"Ocupantes de automóvel";8;5;7;9;6;3;13;9;12;9;19;14;14;21;17;14;14;7;13;10;33;15;NA
"Região Metropolitana de Recife";"Ocupantes de automóvel";55;35;53;31;73;71;61;65;72;47;46;34;42;36;52;70;60;50;44;41;34;28;NA
"Região Metropolitana de Porto Velho";"Ocupantes de automóvel";NA;NA;1;1;NA;1;1;NA;1;1;NA;4;8;16;4;14;7;10;10;9;7;8;NA
"Região Metropolitana de Porto Alegre";"Ocupantes de automóvel";2;4;1;4;6;7;3;5;8;6;11;8;9;8;5;14;7;8;9;9;7;11;NA
"Região Metropolitana de Piracicaba";"Ocupantes de automóvel";NA;1;1;3;2;4;6;3;3;10;10;3;6;5;6;8;9;12;7;4;8;16;NA
"Região Metropolitana de Patos";"Ocupantes de automóvel";NA;NA;NA;NA;2;1;2;5;4;7;5;7;18;26;26;28;39;25;34;21;22;17;NA
"Região Metropolitana de Palmeira dos Índios";"Ocupantes de automóvel";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;1;NA;NA;1;NA
"Região Metropolitana de Palmas";"Ocupantes de automóvel";17;16;20;11;17;24;12;31;13;14;14;21;12;28;23;30;22;28;15;15;15;21;NA
"Região Metropolitana de Natal";"Ocupantes de automóvel";47;35;20;21;30;27;44;27;41;23;30;23;19;21;24;20;13;14;11;12;10;9;NA
"Região Metropolitana de Maringá";"Ocupantes de automóvel";1;2;4;3;9;6;2;5;9;2;9;3;5;11;13;9;8;7;2;9;8;14;NA
"Região Metropolitana de Manaus";"Ocupantes de automóvel";43;30;32;31;19;17;29;26;28;46;51;39;37;46;46;56;48;31;41;35;29;39;NA
"Região Metropolitana de Maceió";"Ocupantes de automóvel";17;19;6;4;6;7;2;1;3;3;1;5;3;2;3;1;2;37;27;8;12;20;NA
"Região Metropolitana de Macapá";"Ocupantes de automóvel";18;1;NA;10;10;4;4;14;6;4;NA;NA;2;1;13;7;14;10;6;11;3;15;NA
"Região Metropolitana de Londrina";"Ocupantes de automóvel";7;5;7;5;7;6;8;9;7;8;8;14;10;9;14;12;12;8;10;22;19;18;NA
"Região Metropolitana de Lages";"Ocupantes de automóvel";2;1;NA;1;NA;1;3;NA;3;2;1;9;4;3;8;12;5;4;8;10;10;8;NA
"Região Metropolitana de Jundiaí";"Ocupantes de automóvel";NA;1;3;3;4;3;2;5;6;4;2;8;5;4;1;NA;3;7;3;8;1;7;NA
"Região Metropolitana de João Pessoa";"Ocupantes de automóvel";51;12;NA;44;16;13;14;10;11;20;35;22;28;15;12;25;17;6;15;7;5;37;NA
"Região Metropolitana de Joinville";"Ocupantes de automóvel";3;NA;2;1;1;1;3;1;1;4;5;1;3;3;11;14;6;6;7;6;4;11;NA
"Região Metropolitana de Jaraguá do Sul";"Ocupantes de automóvel";NA;NA;1;NA;3;NA;1;1;NA;1;2;1;2;4;1;3;1;3;3;2;1;NA;NA
"Região Metropolitana de Itabaiana";"Ocupantes de automóvel";NA;NA;NA;1;3;NA;1;NA;3;3;3;NA;2;1;2;8;3;7;6;7;12;4;NA
"Região Metropolitana de Gurupi";"Ocupantes de automóvel";16;13;15;15;25;13;26;25;26;31;36;52;68;22;35;34;28;24;15;11;11;28;NA
"Região Metropolitana de Guarabira";"Ocupantes de automóvel";2;2;NA;1;4;5;3;5;1;4;NA;NA;6;5;4;2;5;12;9;16;20;2;NA
"Região Metropolitana de Goiânia";"Ocupantes de automóvel";18;24;21;17;45;38;57;42;45;44;34;47;44;49;73;66;72;71;58;46;47;52;NA
"Região Metropolitana de Fortaleza";"Ocupantes de automóvel";48;57;76;68;68;63;88;117;152;64;23;82;83;61;69;86;133;29;51;25;7;12;NA
"Região Metropolitana de Florianópolis";"Ocupantes de automóvel";NA;4;2;1;2;NA;1;NA;NA;5;2;5;3;3;3;5;6;3;3;1;3;3;NA
"Região Metropolitana de Feira de Santana";"Ocupantes de automóvel";28;10;9;6;7;14;30;40;36;50;62;58;64;51;39;16;15;27;31;22;40;62;NA
"Região Metropolitana de Esperança";"Ocupantes de automóvel";1;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA
"Região Metropolitana de Curitiba";"Ocupantes de automóvel";9;8;6;8;8;7;13;3;10;2;4;10;5;5;6;6;11;7;11;6;14;30;NA
"Região Metropolitana de Chapecó";"Ocupantes de automóvel";NA;1;1;NA;NA;2;2;3;3;1;NA;9;4;3;3;4;8;2;8;9;2;6;NA
"Região Metropolitana de Central";"Ocupantes de automóvel";2;1;1;2;1;1;NA;4;1;1;5;NA;NA;1;3;1;2;2;NA;1;NA;NA;NA
"Região Metropolitana de Cascavel";"Ocupantes de automóvel";3;3;3;2;5;2;4;5;4;1;2;2;8;9;10;10;5;11;8;3;9;13;NA
"Região Metropolitana de Campo Mourão";"Ocupantes de automóvel";6;NA;2;3;5;1;NA;8;3;13;15;12;14;9;17;16;14;19;10;14;20;13;NA
"Região Metropolitana de Campinas";"Ocupantes de automóvel";1;NA;2;4;7;4;6;10;6;9;6;9;16;14;12;22;28;24;20;10;16;21;NA
"Região Metropolitana de Campina Grande";"Ocupantes de automóvel";6;NA;1;9;NA;NA;NA;NA;NA;1;NA;1;1;NA;1;NA;1;1;NA;NA;NA;NA;NA
"Região Metropolitana de Cajazeiras";"Ocupantes de automóvel";NA;NA;NA;1;2;2;1;NA;1;2;2;6;12;8;19;24;18;18;16;8;6;8;NA
"Região Metropolitana de Caetés";"Ocupantes de automóvel";4;1;1;NA;1;NA;NA;1;NA;NA;NA;NA;1;2;NA;1;1;6;2;NA;7;3;NA
"Região Metropolitana de Belém";"Ocupantes de automóvel";14;15;8;9;12;18;11;11;2;3;5;3;10;5;12;5;4;8;15;15;11;8;NA
"Região Metropolitana de Belo Horizonte";"Ocupantes de automóvel";35;45;66;46;47;58;109;103;101;102;125;124;72;107;106;114;61;66;51;46;51;65;NA
"Região Metropolitana de Barra de Santa Rosa";"Ocupantes de automóvel";NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;NA;NA;NA;NA;NA;NA;NA
"Região Metropolitana de Araruna";"Ocupantes de automóvel";1;NA;NA;NA;NA;NA;NA;1;1;2;NA;NA;7;1;3;NA;NA;2;1;1;7;NA;NA
"Região Metropolitana de Aracaju";"Ocupantes de automóvel";21;37;35;23;27;17;12;26;19;23;33;32;26;32;25;21;19;17;15;21;12;20;NA
"Região Metropolitana de Apucarana";"Ocupantes de automóvel";2;3;3;6;9;3;6;4;4;3;3;2;9;4;7;11;3;9;3;5;6;11;NA
"Região Metropolitana da Zona da Mata";"Ocupantes de automóvel";7;1;1;NA;2;NA;2;1;NA;5;NA;1;3;3;NA;NA;NA;6;7;5;6;13;NA
"Região Metropolitana da Zona Leste do Estado do Maranhão";"Ocupantes de automóvel";3;1;1;2;2;1;NA;2;7;2;3;8;4;6;12;4;6;3;6;7;3;4;NA
"Região Metropolitana da Serra Gaúcha";"Ocupantes de automóvel";2;4;6;5;1;1;1;1;6;6;6;2;1;3;3;2;5;2;3;NA;3;NA;NA
"Região Metropolitana da Grande Vitória";"Ocupantes de automóvel";35;51;33;37;36;39;37;69;51;62;63;78;90;84;75;40;37;47;41;31;24;46;NA
"Região Metropolitana da Grande São Luís";"Ocupantes de automóvel";28;28;11;12;11;10;12;18;18;17;31;35;36;24;19;15;14;25;6;7;7;8;NA
"Região Metropolitana da Foz do Rio Itajaí";"Ocupantes de automóvel";NA;NA;1;1;2;2;3;NA;2;1;1;1;3;2;1;NA;2;1;2;1;2;NA;NA
"Região Metropolitana da Capital";"Ocupantes de automóvel";15;7;10;3;5;7;9;16;8;7;11;11;8;20;12;26;15;13;16;20;32;33;NA
"Região Metropolitana da Baixada Santista";"Ocupantes de automóvel";2;2;1;NA;1;1;4;6;2;8;5;6;13;5;4;2;3;5;8;8;10;18;NA
"Região Metropolitana Carbonífera";"Ocupantes de automóvel";NA;1;NA;2;NA;NA;1;3;1;2;4;3;NA;1;2;3;2;2;3;NA;1;2;NA
"Região Integrada de Desenvolvimento do Distrito Federal e Entorno";"Ocupantes de automóvel";236;227;223;270;227;177;170;155;162;213;215;257;238;244;233;188;159;118;112;111;100;76;NA
"Região Integrada de Desenvolvimento da Grande Teresina";"Ocupantes de automóvel";2;5;3;5;7;5;16;13;9;11;38;19;30;40;26;28;30;32;19;17;20;20;NA
"Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA";"Ocupantes de automóvel";12;24;35;16;13;26;25;13;28;17;38;72;71;60;75;59;78;42;58;71;65;44;NA
"Entorno Metropolitano da RM Vale do Rio Cuiabá";"Ocupantes de automóvel";9;11;9;5;4;2;2;5;3;7;11;10;4;9;4;3;2;2;4;2;1;6;NA
"Colar Metropolitano de Belo Horizonte";"Ocupantes de automóvel";6;5;7;13;19;26;12;7;2;7;18;7;17;39;31;19;27;15;18;24;28;25;NA
"Colar Metropolitano";"Ocupantes de automóvel";NA;1;6;2;NA;2;4;8;5;22;18;13;2;13;12;18;4;20;7;3;8;8;NA
"-";"Ocupantes de automóvel";839;968;1219;1146;1426;1433;1329;1614;1838;1873;2300;2434;2683;2636;2788;2532;2404;2451;2035;1986;2009;2177;NA
"Área de Expansão Metropolitana";"Ciclistas";NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Região Metropolitana do Vale do Rio Cuiabá";"Ciclistas";7;3;6;7;7;6;6;5;4;6;3;8;4;6;5;6;8;8;9;7;4;5;NA
"Região Metropolitana do Vale do Piancó";"Ciclistas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA
"Região Metropolitana do Vale do Paraíba e Litoral Norte";"Ciclistas";2;2;1;3;2;1;1;7;5;8;1;1;6;2;4;4;7;4;6;NA;7;1;NA
"Região Metropolitana do Vale do Paraíba";"Ciclistas";NA;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Região Metropolitana do Vale do Mamanguape";"Ciclistas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA
